name,stationID,聚类簇号,站点类型,日均总客流,周末比,早高峰进站占比,晚高峰进站占比,早高峰出站占比
Haitian 3rd Road,262,1,郊区低频站点,6516.619731800766,0.5712446349948913,0.068759730628531,0.060943905517294665,0.14132972206093675
Pudong International Airport,263,3,通勤居住站,50336.65134099616,1.0980708825577754,0.0612608260827956,0.06615706055292736,0.07755552005931926
Shilong Road,312,2,休闲商圈站,36921.61398467433,0.6605238403436381,0.137446329070328,0.06898344404160447,0.09360755577599787
Caoxi Road,314,2,休闲商圈站,29882.862068965514,0.8052624488934317,0.08266413867471976,0.1006304778724579,0.11419171741765724
Dongbaoxing Road,325,3,通勤居住站,48517.54789272031,0.6846700253423964,0.07731484604566455,0.10584830282056554,0.1137913646212146
Chifeng Road,327,3,通勤居住站,56013.74425287356,0.811150541706635,0.10936981800370778,0.06845634439240302,0.07258961749713587
Dabaishu,328,0,就业办公站,75472.27011494254,0.5753769181805815,0.11486445007621039,0.07819281707786528,0.10190638015019772
Jiangwan Town,329,0,就业办公站,84571.23084291187,0.7179116552037222,0.15347364091775784,0.048882399921051665,0.06335048946145196
West Yingao Road,330,3,通勤居住站,67419.90038314176,0.6864386198658369,0.17096789607771076,0.03701737357849223,0.05506389564256018
South Changjiang Road,331,3,通勤居住站,57979.10823754789,0.616829812913101,0.16268087391946195,0.05490914631887387,0.0725194133236311
Songfa Road,332,2,休闲商圈站,23968.569923371648,0.5621218954128409,0.15429212864166622,0.06803688198268165,0.09298933317141106
Zhanghuabang,333,1,郊区低频站点,5705.617816091954,0.6748219364808373,0.12081552706545688,0.05728944088315761,0.08320646367516533
Songbin Road,334,2,休闲商圈站,32789.430076628356,0.6631940031242554,0.14940271054841842,0.04483476321333142,0.06761573241801835
Shuichan Road,335,2,休闲商圈站,25202.61877394636,0.6120841053240399,0.16323411370749946,0.04360302666548061,0.07080508353617136
Baoyang Road,336,2,休闲商圈站,26945.458812260535,0.7601136716578684,0.13874164462942068,0.040082555606937645,0.0809126970009501
Youyi Road,337,2,休闲商圈站,30793.084291187737,0.6182304637863074,0.13928618338565904,0.04701302733231748,0.07152654224429186
Tieli Road,338,1,郊区低频站点,10520.275862068966,0.47048786835940887,0.108033750616697,0.07058382044268581,0.07583331242733102
North Jiangyang Road,339,2,休闲商圈站,29264.278735632186,0.6643006745471696,0.18487787097602895,0.025636291014330407,0.04517518874286584
Lingping Road,413,3,通勤居住站,66161.0775862069,0.6812138095203325,0.12144629853159733,0.07224307061687318,0.08265360832247934
Yangshupu Road,415,3,通勤居住站,55917.63697318008,0.5218744176768263,0.10756582049819367,0.10013210225014935,0.12101977736405312
Pudong Avenue,416,0,就业办公站,76303.29022988505,0.4645486990366487,0.08385349674005524,0.1267529731170934,0.14265331250073646
